Saami {prop} (Saami language)	 :: Samisk språk
shit happens {phrase} (expression of acceptance of misfortune) SEE: such is life	 ::
shitter {n} (anus (vulgar)) SEE: ass	 ::
shive {n} (shiva) SEE: shiva	 ::
Shlomo {prop} (given name) SEE: Solomon	 ::
shoal {n} (group of fish)	 :: stim {m}
shoal {n} (sandbank)	 :: sandbanke {m}
shock {n} (arrangement of sheaves for drying) SEE: stook	 ::
shock {n} (life-threatening medical emergency)	 :: [Bokmål] sjokk {n}; [Nynorsk] sjokk {n}
shock {n} (something surprising)	 :: [Bokmål] sjokk {n}; [Nynorsk] sjokk {n}
shock absorber {n} (device to absorb shocks)	 :: [Bokmål] støtdemper {m}, støytdemper {m}; [Nynorsk] støytdempar {m}
shock wave {n} (A powerful compression wave)	 :: [Bokmål] sjokkbølge {m} {f}; [Nynorsk] sjokkbølgje {f}, sjokkbylgje {f}
shoddy {adj} (exhibiting poor quality)	 :: slurvet, slurvete (not about objects)
shoe {n} (piece of metal designed to be attached to a horse’s foot) SEE: horseshoe	 ::
shoe {n} (protective covering for the foot)	 :: [Bokmål] sko {m}; [Nynorsk] sko {m}
shoe {v} (to put horseshoes on a horse)	 :: sko
shoeblack {n} (shoeshiner) SEE: shoeshiner	 ::
shoehorn {n} (tool used to assist the foot)	 :: [Bokmål] skohorn {n}; [Nynorsk] skohorn {n}
shoelace {n} (for fastening a shoe)	 :: skolisse {f}
shoemaker {n} (a person who makes shoes)	 :: [Bokmål] skomaker {m}; [Nynorsk] skomakar {m}
shoeshine boy {n} (shoeshiner) SEE: shoeshiner	 ::
shoeshine girl {n} (shoeshiner) SEE: shoeshiner	 ::
shoe tree {n} (device to preserve the shape of a shoe)	 :: [Bokmål] skoblokk {m}
shoetree {n} (device to preserve the shape of a shoe) SEE: shoe tree	 ::
shoo {v} (usher) SEE: usher	 ::
shoot {v} (to fire a shot)	 :: skyte
shoot {v} (to fire multiple shots)	 :: skyte
shoot {v} (to hit with a shot)	 :: skyte
shooting {n} (the sport or activity of firing a gun)	 :: [Bokmål] skyting {m} {f}; [Nynorsk] skyting {f}
shooting star {n} (meteor)	 :: [Bokmål] stjerneskudd {n}, stjerneskott {n}
shoot oneself in the foot {v}	 :: skyte seg selv i foten
shoot oneself in the foot {v} (to act against one's own interest)	 :: skyte seg selv i foten
shoot the moon {v} (to achieve the lowest score possible)	 :: storeslem
shoot the shit {v} (chat casually) SEE: shoot the breeze	 ::
shop {n} (a class taught typically in junior high school, teaching vocational skill)	 :: sløyd {m}
shop {n} (establishment that sells goods)	 :: butikk {m}, forretning {m}
shop {v} (to visit shops)	 :: handle, shoppe
shoppe {n} (shop) SEE: shop	 ::
shopping {n} (activity of buying)	 :: shopping {m}, handling {m}
shopping {n} (things bought)	 :: varer {m-p}, matvarer {m-p}
shopping center {n} (shopping centre) SEE: shopping centre	 ::
shopping centre {n} (large retail outlet)	 :: kjøpesenter {n}
shopping list {n} (list of items that need to be bought)	 :: handleliste {m} {f}
shopping mall {n} (shopping centre) SEE: shopping centre	 ::
shopping trolley {n} (shopping cart) SEE: shopping cart	 ::
shop window {n} (large window at the front of a shop)	 :: butikkvindu {n}
shore {v} (support) SEE: shore up	 ::
shore bird {n} (shorebird) SEE: shorebird	 ::
shore pine {n} (lodgepole pine) SEE: lodgepole pine	 ::
short {v} (shortchange) SEE: shortchange	 ::
short of {phrase} (except) SEE: except	 ::
shorts {n} (pants worn primarily in the summer that do not go lower than the knees)	 :: [Bokmål] kortbukse {m} {f}, shorts {m}; [Nynorsk] kortbukse {f}, shorts {m}
shorts {n} (plural of short) SEE: short	 ::
short-sighted {adj} (myopic) SEE: myopic	 ::
short story {n} (work of fiction)	 :: [Bokmål] novelle {m} {f}; [Nynorsk] novelle {f}
Shoshone {prop} (Amerind people)	 :: shoshone
shot {n} (small metal balls used as ammunition)	 :: hagl {n}
shotgun {n} (gun)	 :: hagle {c}
should {v} (expressing likelihood)	 :: burde
should {v} (expressing obligation)	 :: burde
should {v} (If; in case of)	 :: skulle
shoulder {n} (joint between arm and torso)	 :: [Bokmål] skulder {m} {f}; [Nynorsk] skulder {f}
shoulder bag {n} (bag suspended from the shoulder)	 :: [Bokmål] skulderveske {m} {f}; [Nynorsk] skulderveske {f}
shoulder blade {n} (bone)	 :: skapula {m}; [Bokmål] skulderblad {n}; [Nynorsk] skulderblad {n}
shoulder joint {n} (glenohumeral joint) SEE: glenohumeral joint	 ::
shout {n} (a loud burst of voice)	 :: rop {m}
shout {v} (to enter a text message in upper case)	 :: rope
shout {v} (to utter a sudden and loud outcry)	 :: rope
shout {v} (to utter with a shout)	 :: rope
shovel {n} (spade) SEE: spade	 ::
shovel {n} (tool for moving portions of material)	 :: skuffe
shovel {v} (to move materials with a shovel)	 :: [Bokmål] skuffe, måke (snow); [Nynorsk] skuffe, moke (snow)
show {n} (broadcast program(me))	 :: show {m}, program {m}
show {v} (display)	 :: vise
show {v} (indicate (a fact) to be true)	 :: vise
showcase {n} (a setting for displaying something favorably)	 :: PR-jippo {n}
shower {n} (baby shower) SEE: baby shower	 ::
shower {n} (bridal shower) SEE: bridal shower	 ::
shower {n} (brief fall of rain)	 :: dusj {m}
shower {n} (device for bathing)	 :: dusj
showman {n} (person who produces or presents shows as a profession) SEE: impresario	 ::
show of hands {n} (A vote by raising a hand)	 :: [Bokmål] handsopprekking {m} {f}, handsopprekning {m} {f}, håndsopprekking {m} {f}, håndsopprekning {m} {f}; [Nynorsk] handsopprekking {f}
shrapnel {n} (loose change) SEE: loose change	 ::
shredder {n} (machine that tears up objects into smaller pieces)	 :: [Bokmål] makuleringsmaskin {m}; [Nynorsk] makuleringsmaskin {m} {f}
shrew {n} (mouselike animal)	 :: spissmus {c}
shrine {n} (a holy place dedicated to a specific figure of respect)	 :: skrin, helgenskrin
shrine {v} (enshrine) SEE: enshrine	 ::
shrink {v} (transitive: to cause something to shrink)	 :: krympe
shrive {v} (confess) SEE: confess	 ::
shroud {n} (mast support)	 :: vant
shrub {n} (woody plant)	 :: busk {m}
shudder {n}	 :: skrekkblandet fryd
shufti {n} (glance) SEE: glance	 ::
shun {v} (to avoid)	 :: unngå
shut {v} (to close)	 :: [Bokmål] stenge
shutter {n} (part of a camera)	 :: [Bokmål] blender {m}; [Nynorsk] blendar {m}
shuttle {n} (part of a loom)	 :: skyttel {m}
shuttle {n} (transport service)	 :: skytteltrafikk
shuttlecock {n} (badminton ball)	 :: [Bokmål] fjærball {m}; [Nynorsk] fjørball {m}
shut up {v} (close (a building) so that no one can enter)	 :: låse, låse av, stenge
shut up {v} (enclose (a person, animal or thing) in a room or other place so that it cannot leave)	 :: låse inn
shut up {v} ("I don't believe it!")	 :: det mener du ikke
shut up {v} (imperative: "Shut up!")	 :: hold kjeft, hold tåta, kjeften, kjeft, hold munn, hold kjeft
shut up {v} (intransitive: to stop talking or making noise)	 :: ti stille, holde kjeft
shut up {v} (terminate (a business))	 :: avslutte
shvitz {n} (sweat) SEE: sweat	 ::
shy {adj} (reserved)	 :: sjenert
shy {v} (to avoid due to timidness or caution) SEE: shy away	 ::
shylock {n} (loan shark) SEE: loan shark	 ::
shylock {v} (to lend at exorbitant rates)	 :: [Bokmål] ågre; [Nynorsk] ågre
Siamese fighting fish {n} (a freshwater fish)	 :: siamesisk kampfisk
sib {n} (kindred) SEE: kindred	 ::
sib {n} (kinsman) SEE: kinsman	 ::
sib {n} (sibling) SEE: sibling	 ::
Siberia {prop} (region of Russia)	 :: Sibir
Siberian Husky {n} (Siberian Husky dog)	 :: sibirsk husky
sibilant {n} (phonetics: a hissing sound)	 :: [Bokmål] hvislelyd {m}, sibilant {m}; [Nynorsk] kvislelyd {m}, sibilant {m}
sibling {n} (person who shares same parents)	 :: søsken {n}
Sicily {prop} (island)	 :: Sicilia
sick {adj} (in poor health)	 :: syk
sick {n} (sick people)	 :: syke
sick and tired {adj} (frustrated and annoyed) SEE: fed up	 ::
sickle {n} (agricultural implement)	 :: sigd {m}
sickle cell anaemia {n} (sickle cell anaemia) SEE: sickle-cell anemia	 ::
sickle-cell anaemia {n} (sickle-cell anaemia) SEE: sickle-cell anemia	 ::
sickle-cell disease {n} (sickle-cell disease) SEE: sickle-cell anemia	 ::
side {n} (bounding straight edge of an object)	 :: side {m}, kant {m}
side {n} (flat surface of an object)	 :: side
side {n} (group having a particular allegiance in a war)	 :: side {c}
side {n} (left or right half)	 :: side
side {n} (region in a specified position with respect to something)	 :: side
side {n} (set of opponents in a game)	 :: lag {n}
side {n} (side dish) SEE: side dish	 ::
side {n} (surface of a sheet of paper)	 :: side
side {n} (television channel) SEE: channel	 ::
sideburn {n} (sideburns) SEE: sideburns	 ::
sideburns {n} (facial hair reaching from the top of the head down the side of the face to the side of the chin)	 :: kinnskjegg {n}
sidedish {n} (side dish) SEE: side dish	 ::
side effect {n} (medicine: an adverse effect)	 :: [Bokmål] bivirkning {m} {f}
side order {n} (accompaniment to main course) SEE: side dish	 ::
sideproduct {n} (byproduct) SEE: byproduct	 ::
side-straddle hop {n} (jumping jack) SEE: jumping jack	 ::
sidewalk {n} (paved footpath)	 :: [Bokmål] fortau {n}; [Nynorsk] fortau {n}
sidewards {adj} (sideward) SEE: sideward	 ::
sidewards {adv} (sideward) SEE: sideward	 ::
Sidon {prop} (city state of Phoenicia)	 :: Sidon
siege {n} (military blockade of settlement)	 :: beleiring {m}
siege {v} (to assault with the intent of conquering by force or attrition)	 :: beleire
Sierra Leone {prop} (Republic of Sierra Leone)	 :: Sierra Leone
Sierra Leonean {adj} (from or of Sierra Leone)	 :: [Bokmål] sierraleonsk; [Nynorsk] sierraleonsk
Sierra Leonean {n} (someone from Sierra Leone)	 :: [Bokmål] sierraleoner {m}; [Nynorsk] sierraleonar {m}
siesta {n} (an afternoon nap)	 :: [Bokmål] siesta {m}; [Nynorsk] siesta {m}
sieve {n} (device to separate larger objects)	 :: sikt {c}, såld {c}, sil {c}
sieve {v}	 :: sikte, sålde
Sif {prop} (wife of Thor)	 :: Siv
sigh {n} (a deep and prolonged audible inspiration or respiration of air, as when fatigued, frustrated, or grieved; the act of sighing)	 :: sukk {n}
sigh {v} (to exhale in sighs)	 :: sukke
sigh {v} (to express by sighs; to utter in or with sighs)	 :: sukke
sigh {v} (to express frustration)	 :: sukke
sigh {v} (to inhale a larger quantity of air than usual, and immediately expel it)	 :: sukke
sigh {v} (to make a sound like sighing)	 :: sukke
sigil {n} (seal, signature or signet)	 :: segl {n}
sign {n} (any of several specialized non-alphabetic symbols)	 :: [Bokmål] tegn {n}; [Nynorsk] teikn {n}
sign {n} (astrological sign)	 :: [Bokmål] tegn {n}, stjernetegn {n}; [Nynorsk] teikn {n}, stjerneteikn {n}
sign {n} (flat object bearing a message)	 :: [Bokmål] skilt {n}; [Nynorsk] skilt {n}
sign {n} (linguistic unit in sign language)	 :: [Bokmål] tegn; [Nynorsk] teikn {n}
sign {n} (meaningful gesture)	 :: [Bokmål] tegn; [Nynorsk] teikn {n}
sign {n} (omen)	 :: [Bokmål] tegn {n}; [Nynorsk] teikn {n}
sign {n} (positive or negative polarity)	 :: [Bokmål] fortegn {n}; [Nynorsk] forteikn {n}
sign {n} (sign language in general)	 :: [Bokmål] tegnspråk {n}; [Nynorsk] teiknspråk {n}
sign {n} (traffic sign)	 :: [Bokmål] skilt; [Nynorsk] skilt {n}
sign {n} (visible indication)	 :: [Bokmål] tegn {n}; [Nynorsk] teikn {n}
sign {v} (to make (a document) official by writing one's signature)	 :: [Bokmål] skrive under; [Nynorsk] skrive under
sign {v} (to write one's signature on a document)	 :: [Bokmål] signere, skrive under; [Nynorsk] signere, skrive under
sign {v} (to write one's signature somewhere)	 :: [Bokmål] signere; [Nynorsk] signere
signal {n} (device to give indication)	 :: [Bokmål] signal {n}; [Nynorsk] signal {n}
signal {n} (electric or electromagnetic action that conveys information)	 :: [Bokmål] signal {n}; [Nynorsk] signal {n}
signal {n} (indication)	 :: [Bokmål] signal {n}; [Nynorsk] signal {n}
signature {n} (person’s autograph name)	 :: underskrift {f}, signatur {m}
significantly {adv} (in a significant manner: notably)	 :: [Bokmål] betydelig, påtagelig, markant
significant other {n} (romantic partner, regardless of marital status)	 :: [Bokmål] signifikant andre {m} {f}
sign in {v} (log in) SEE: log in	 ::
sign language {n} (sign language)	 :: [Bokmål] tegnspråk {n}; [Nynorsk] teiknspråk {n}
sign up {v}	 :: melde på
Sigrid {prop} (female given name)	 :: Sigrid
Sigurd {prop} (the hero of the Volsungasaga)	 :: Sigurd
silence {interj} (common imperative instructing the addressed to remain silent)	 :: stille!, hysj!
silence {n} (lack of any sound)	 :: ro {m}, taushet {m}, togn; [Bokmål] stillhet {m} {f}
silence {v} (To make something silent)	 :: roe
silencer {n} (attachment)	 :: [Bokmål] lyddemper {m}, (vehicles, boats) lydpotte {m} {f}; [Nynorsk] lyddempar {m}, (vehicles, boats) lydpotte {f}
silent {adj} (not pronounced; having no sound; quiescent)	 :: stum
silently {adv} (in a silent manner; making no noise)	 :: stille
silent miscarriage {n} (missed abortion) SEE: missed abortion	 ::
silhouette {n} (representation of the outlines of an object filled in with a black color)	 :: [Bokmål] silhuett {m}; [Nynorsk] silhuett {m}
silicate {n} (salt or mineral)	 :: silikat {n}
silicic acid {n} (any of a range of hydrates of silica)	 :: kiselsyre {m} {f}
silicon {n} (non-metallic element)	 :: [Bokmål] silisium {n}; [Nynorsk] silisium {n}
silicone {n} (any of a class of inert compounds of silicon)	 :: [Bokmål] silikon {n}; [Nynorsk] silikon {n}
silk {n} (fiber)	 :: [Bokmål] silke; [Nynorsk] silke
silk-screen printing {n} (screen printing) SEE: screen printing	 ::
silkworm {n} (caterpillar)	 :: silkeorm
sill {n} (base of a window)	 :: vinduskarm {m}
silly {adj} (irresponsible, showing irresponsible behaviors)	 :: tullete, fjollete
silver {n} (metal)	 :: sølv
silver ball {n} (pinball) SEE: pinball	 ::
silverfish {n} (type of bristletail)	 :: sølvkre
silverware {n} (anything made from silver)	 :: [Bokmål] sølvtøy {n}; [Nynorsk] sylvtøy {n}, sølvtøy {n}
silverweed {n} (plant)	 :: gåsemure
Silvia {prop} (female given name)	 :: Sylvia
silviculture {n} (forestry)	 :: [Bokmål] skogbruk {n}
similar {adj} (Having traits or characteristics in common; alike, comparable)	 :: [Bokmål] lignende, liknende; [Nynorsk] liknande
similarity {n} (closeness)	 :: [Bokmål] likhet {m} {f}
simmer {v} ((intransitive) to cook or undergo heating slowly)	 :: [Bokmål] trekke; [Bokmål] trekke
simmer {v} ((transitive) to cause to cook or undergo heating slowly)	 :: [Bokmål] trekke; [Bokmål] trekke
Simon {prop} (biblical characters)	 :: Simon
Simon {prop} (male given name)	 :: Simon
Simon says {n} (children's game)	 :: Kongen befaler
simplified {adj} (made simpler)	 :: [Bokmål] forenklet, forenkla; [Nynorsk] forenkla
simplify {v} (to become simpler)	 :: forenkles
simplify {v} (to make simpler)	 :: [Bokmål] forenkle; [Nynorsk] forenkle, forenkla
simply {adv} (in a simple manner)	 :: rett og slett, ganske enkelt, intet mindre enn
simultaneous {adj} (at the same time)	 :: samtidig, samstundes
simultaneously {adv} (occurring at the same time)	 :: [Nynorsk] samstundes
sin {n} (violation of religious law)	 :: synd
since {conj} (because)	 :: siden, fordi, da
since {conj} (from the time that)	 :: siden
since {prep} (from (time))	 :: siden
sincereness {n} (sincerity) SEE: sincerity	 ::
sine {n} (trigonometric function)	 :: sinus {m}
sinew {n} (tendon) SEE: tendon	 ::
sinful {adj} (evil) SEE: evil	 ::
sinful {adj} (of or relating to sin)	 :: syndig
sing {v} (to produce harmonious sounds with one’s voice)	 :: synge
Singapore {prop} (Republic of Singapore)	 :: Singapore
Singaporean {adj} (of, from, or pertaining to Singapore)	 :: [Bokmål] singaporsk; [Nynorsk] singaporsk
Singaporean {n} (a person from Singapore)	 :: [Bokmål] singaporer {m}; [Nynorsk] singaporar {m}
singe {v} (to burn slightly)	 :: svi
singer {n} (person who sings)	 :: [Bokmål] sanger {m}, sangerinne {m} {f} [female]; [Nynorsk] songar {m}, songarinne {f} [female]
singeress {n} (songstress) SEE: songstress	 ::
singing voice {n} (quality of voice when singing)	 :: [Bokmål] sangstemme {m}; [Nynorsk] songrøyst {f}, songstemme {f}
single {n} (45 RPM vinyl record)	 :: [Bokmål] singel {m}, single {m}, singelplate {m} {f}; [Nynorsk] singel {m}, single {m}, singelplate {f}
single {n} (one-way ticket) SEE: one-way ticket	 ::
single {v} (farming: to thin out) SEE: thin out	 ::
single bed {n} (bed for one person)	 :: [Bokmål] enkeltseng {m} {f}
single celled {adj} (consisting of one cell) SEE: unicellular	 ::
single parent {n} (only parent bringing up a child)	 :: [Bokmål] aleneforelder {m}, aleineforelder {m}; [Nynorsk] aleineforelder {m}, åleineforelder {m}
single ticket {n} (one-way ticket) SEE: one-way ticket	 ::
singsong {n} (an informal gathering at which songs are sung; a singing session)	 :: allsang {m}
singsong {n} (a piece of verse with a simple, song-like rhythm)	 :: allsang {m}
singular {adj} (being only one of larger population)	 :: [Bokmål] enkelt; [Nynorsk] einskild, einstaka, enkelt
Sinhala {prop} (Sinhalese) SEE: Sinhalese	 ::
sinicization {n} (process of sinicising)	 :: sinifisering
sink {n} (basin)	 :: vask
sink {n} (sinkhole) SEE: sinkhole	 ::
sink {v} (cause (ship, etc) to sink)	 :: senke
sink {v} (descend into liquid, etc)	 :: synke
sinker {n} (sinker nail) SEE: sinker nail	 ::
Sino-Xenic {adj} (Sino-Japanese) SEE: Sino-Japanese	 ::
Sino-Xenic {adj} (Sino-Korean) SEE: Sino-Korean	 ::
Sino-Xenic {adj} (Sino-Vietnamese) SEE: Sino-Vietnamese	 ::
sinusoid {adj} (sinusoidal) SEE: sinusoidal	 ::
sirensong {n} (siren song) SEE: siren song	 ::
sirup {n} (syrup) SEE: syrup	 ::
sissy {n} (a timid, unassertive or cowardly person)	 :: Pyse
sissy {n} (sister) SEE: sis	 ::
sister {n} (woman or girl having the same parents)	 :: søster {c}, storesøster [elder], lillesøster [younger]
sister-in-law {n} (brother's wife)	 :: svigerinne {f}
sister-in-law {n} (husband's brother's wife)	 :: svigerinne {f}
sister-in-law {n} (husband's sister)	 :: svigerinne {f}
sister-in-law {n} (wife's brother's wife)	 :: svigerinne {f}
sister-in-law {n} (wife's sister)	 :: svigerinne {f}
sit {v} (move oneself into such a position)	 :: sette seg
sit {v} (of an object: occupy a given position permanently)	 :: sitte
sit {v} (of a person, be in a position in which the upper body is upright and the legs are supported)	 :: sitte
sit {v}	 :: sitte
site map {n} (webpage that lists the contents of a website)	 :: sideoversikt {m}, sidekart {n}
sit on it {v} (sit on) SEE: sit on	 ::
sitting room {n} (living room) SEE: living room	 ::
situation comedy {n} (episodic comedy television program, see also: sitcom)	 :: [Bokmål] situasjonskomedie {m}; [Nynorsk] situasjonskomedie {m}
six {num} (cardinal number)	 :: seks
sixteen {num} (cardinal number 16)	 :: seksten
sixteenth note {n} (sixteenth note) SEE: semiquaver	 ::
sixth {adj} (ordinal form of the number six)	 :: sjette
sixth {n} (one of six equal parts of a whole)	 :: [Bokmål] seksdel {m}, sjettedel {m}; [Nynorsk] seksdel {m}, sjettedel {m}
sixth sense {n} (extrasensory perception)	 :: sjette sans {m}
sixtieth {adj} (the ordinal form of the number sixty)	 :: sekstinde
sixty {num} (cardinal number)	 :: seksti
sixty-five {num} (cardinal number)	 :: sekstifem
sixty-nine {n} (cardinal number)	 :: niogseksti
sixty-six {num} (cardinal number)	 :: sekstiseks
sizable {adj} (sizeable) SEE: sizeable	 ::
size {n} (a specific set of dimensions for clothing)	 :: [Bokmål] størrelse {m}; [Nynorsk] størrelse {m}
size {n} (assize) SEE: assize	 ::
size {n} (dimensions or magnitude of a thing)	 :: [Bokmål] størrelse {m}; [Nynorsk] størrelse {m}
skald {n} (a Nordic poet of the Viking Age)	 :: skald
skate {n} (ice skate or roller skate)	 :: [Bokmål] skøyte {m} {f}; [Nynorsk] skøyte {f}, skeise {f}
skateboard {n} (platform on wheels)	 :: rullebrett
skater {n} (insect) SEE: water strider	 ::
skater {n} (person who skates)	 :: [Bokmål] skøyteløper {m}
skating rink {n} (frozen surface for skating)	 :: skøytebane {m}
skeeter {n} (mosquito) SEE: mosquito	 ::
skein {n} (winning streak) SEE: winning streak	 ::
skeleton {n} (system that provides support to an organism)	 :: [Bokmål] skjelett {n}; [Nynorsk] skjelett {n}
skeleton key {n} (a key that opens a range of locks)	 :: [Bokmål] universalnøkkel {m}; [Nynorsk] universalnykel {m}, universalnøkkel {m}
skepticism {n} (general disposition to doubt)	 :: skeptisisme
sketch {n} (lookout) SEE: lookout	 ::
sketch {n} (short musical, dramatic or literary work or idea)	 :: [Bokmål] sketsj {m}; [Nynorsk] sketsj {m}
sketchy {adj} (Of questionable or doubtful quality)	 :: tvilsom
ski {n} (one of a pair of long flat runners designed for gliding over snow)	 :: [Bokmål] ski {c}; [Nynorsk] ski
ski {v} (to move on skis)	 :: gå på ski
skiascope {n} (retinoscope) SEE: retinoscope	 ::
skier {n} (someone who practices skiing)	 :: [Bokmål] skiløper {m}
ski jump {n} (course)	 :: [Bokmål] hoppbakke {m}; [Nynorsk] hoppbakke {m}
ski jump {n} (ramp)	 :: [Bokmål] hoppbakke {m}; [Nynorsk] hoppbakke {m}
ski jumper {n} (someone who competes in ski jumping)	 :: [Bokmål] skihopper {m}; [Nynorsk] skihoppar {m}
ski jumping {n} (a winter sport)	 :: [Bokmål] skihopping {m} {f}; [Nynorsk] skihopping {f}
skill {n} (capacity to do something well)	 :: [Bokmål] dugleik {m}, dyktighet {m} {f}, evne {m} {f}, ferdighet {m} {f}, talent {n}; [Nynorsk] dugleik {m}, dyktigheit {f}, evne {f}, ferdigheit {f}, talent {n}
skim {v} (read quickly, skipping some detail)	 :: skumlese
skim milk {n} (milk with removed cream)	 :: [Bokmål] skummet melk {m} {f}, skumma melk {m} {f}, skumma mjølk {m} {f}; [Nynorsk] skumma mjølk {f}
skimp {v} (to make insufficient allowance for; to scant; to scrimp)	 :: spinke, knipe
skimp {v} (to save; to be parsimonious or stingy)	 :: spinke
skin {n} (outer covering of the body of a person or animal)	 :: hud {m}, skinn {n}, ham {m}
skin {n} (rolling paper for cigarettes)	 :: [Bokmål] sigarettpapir {n}; [Nynorsk] sigarettpapir {n}
skin {n} (skin of an animal used by humans)	 :: [Bokmål] skinn {n}; [Nynorsk] skinn {n}
skin {n} (the outer protective layer of any plant or animal)	 :: [Bokmål] skinn {n}; [Nynorsk] skinn {n}
skin {v} (to injure the skin of)	 :: [Bokmål] skrubbe; [Nynorsk] skrubbe
skin {v} (to remove the skin of)	 :: [Bokmål] flå; [Nynorsk] flå
skin cancer {n} (malignant growth on the skin)	 :: [Bokmål] hudkreft {m}; [Nynorsk] hudkreft {m}
skin mag {n} (skin magazine) SEE: skin magazine	 ::
skinny-dip {v} (swim in the nude)	 :: nakenbade
skip {v} (not to attend)	 :: [Bokmål] droppe, skulke; [Nynorsk] droppe, skulke
skip {v} (to omit or disregard intermediate items or stages)	 :: [Bokmål] hoppe over, droppe; utelate; [Nynorsk] hoppe over, droppe; utelate
skipper {n} (captain of sports team)	 :: [Bokmål] kaptein {m}; [Nynorsk] kaptein {m}
skipper {n} (master of a ship)	 :: [Bokmål] kaptein {m}; [Nynorsk] kaptein {m}
skip rope {n} (rope used) SEE: skipping rope	 ::
skip rope {v} (to jump over a rope) SEE: jump rope	 ::
skirt {n} (clothing)	 :: skjørt {n}
skirt {n} (part of dress)	 :: skjørt {n}
skirt {n}	 :: skjørt
skirt chaser {n} (man who seeks out female companionship)	 :: [Bokmål] skjørtejeger {m}; [Nynorsk] skjørtejeger {m}
skirting board {n} (panel between floor and interior wall)	 :: golvlist {c}
ski slope {n} (slope for skiing)	 :: [Bokmål] skibakke {m}; [Nynorsk] skibakke {m}
skitrack {n} (ski track) SEE: ski track	 ::
skive {v} (To slack off)	 :: [Bokmål] skulke; [Nynorsk] skulke
Skolt Sami {prop} (language)	 :: skoltesamisk {c}
Skopje {prop} (Macedonia) SEE: Macedonia	 ::
Skopostheorie {n} (idea that translating and interpreting should take into account function) SEE: Skopos theory	 ::
skua {n} (predatory seabird of the family Stercorariidae)	 :: jo {c}; [Nynorsk] jo {m}
skull {n} (cranium)	 :: skalle {m}
skull {n} (death's-head, skull)	 :: [Bokmål] dødninghode {n}
skullduggery {n} (deceptive activities) SEE: skulduggery	 ::
skunk {n} (animal)	 :: skunk {m}, stinkdyr {n}
skunk {n} (skunkweed) SEE: marijuana	 ::
sky {n} (atmosphere above a point)	 :: himmel {m}
sky {n} (heaven)	 :: himmel {m}
sky {n} (specific view, condition)	 :: himmel {m}
skyline {n} (horizon) SEE: horizon	 ::
skyrocket {n} (pocket) SEE: pocket	 ::
skyscraper {n} (tall building)	 :: skyskraper
slab {n} (paving stone)	 :: steinhelle {f}
slag off {v} (to talk insultingly to or about someone or something)	 :: slenge dritt til/om
slake {v} (To satisfy thirst)	 :: [Bokmål] slukke tørsten [literally, figuratively]
slaked lime {n} (calcium hydroxide) SEE: calcium hydroxide	 ::
slalom {n} (sports)	 :: slalåm {m}
slalom {v} (to race in a slalom)	 :: kjøre slalåm, stå slalåm
slalomist {n} (slalomer) SEE: slalomer	 ::
slam {n} (poetry slam) SEE: poetry slam	 ::
slander {n} (false, malicious statement)	 :: bakvaskelse {m}
slang {n} (cant) SEE: cant	 ::
slang {n} (jargon) SEE: jargon	 ::
slap {n} (A blow.)	 :: ørefik {m}, en over kjeften
slap {v} (to give a slap)	 :: fike, slå
slapdash {adj} (done hastily)	 :: forhasta
slap someone five {v} (give someone five) SEE: give someone five	 ::
slash {n} (slash fiction) SEE: slash fiction	 ::
slash {n} (symbol)	 :: skråstrek {m}
slate {n} (rock)	 :: skifer {m}, skiferstein {m}
slattern {n} (prostitute) SEE: prostitute	 ::
slattern {n} (slut) SEE: slut	 ::
slaughter {v} (To butcher animals, generally for food (also kosher and halal rituals))	 :: slakte
slaughter {v} (To kill in a particularly brutal manner)	 :: slakte
slaughter {v} (To massacre people in large numbers)	 :: massakrere, slakte
slaughterhouse {n} (abattoir) SEE: abattoir	 ::
Slav {n} (a member of a group of peoples in Eastern Europe speaking a Slavic language)	 :: slav
slave {n} (person owned by another)	 :: [Bokmål] slave {m}, slavinne {m} {f}, trell {m}, trellkvinne {m} {f}, trælkvinne {m} {f}; [Nynorsk] slave {m}, slavinne {f}, træl {m}, trælkvinne {f}
slave {n} (person who is forced to perform sexual acts)	 :: sexslave {m}, seksualslave {m}
slavery {n}	 :: slaveri
Slavic {adj} (of the Slavs, their culture or languages)	 :: slavisk
Slavonian grebe {n} (Podiceps auritus)	 :: [Bokmål] horndykker {m}
Slavonic {adj} (Slavic) SEE: Slavic	 ::
Slavyansk {prop} (Slovyansk) SEE: Slovyansk	 ::
sled {n} (a small, light vehicle with runners, used, mostly by young persons, for sliding on snow or ice)	 :: [Bokmål] kjelke {m}; [Nynorsk] kjelke {m}
sled {n} (a vehicle on runners, used for conveying loads over the snow or ice)	 :: [Bokmål] slede {m}; [Nynorsk] slede {m}
sledgehammer {n} (kind of hammer)	 :: [Bokmål] slegge {m} {f}; [Nynorsk] sleggje {f}
sleep {n} (state of reduced consciousness)	 :: søvn {m}
sleep {v} (to rest in state of reduced consciousness)	 :: sove
sleeper {n} (horizontal wooden or concrete structural member supporting railway lines)	 :: sville {m}
sleeper {n} (railroad sleeping car) SEE: sleeping car	 ::
sleeping {adj} (asleep) SEE: asleep	 ::
sleeping bag {n} (padded or insulated bag)	 :: [Bokmål] sovepose {m}; [Nynorsk] sovepose {m}
Sleeping Beauty {prop} (fairy tale)	 :: Tornerose
Sleeping Beauty {prop} (main character in this story)	 :: Tornerose
